"time","voltage","temp"
"1",5.79,26,6
"2",1579.52,26,6.3
"3",2323.7,26,4.9
"4",68.85,28,9
"5",108.29,28,6.9
"6",110.29,28,9.6
"7",426.07,28,8.5
"8",1067.6,28,9.2
"9",7.74,30,9.6
"10",17.05,30,9.4
"11",20.46,30,10.6
"12",21.02,30,9.6
"13",22.66,30,9
"14",43.4,30,9.2
"15",47.3,30,9.7
"16",139.07,30,9.8
"17",144.12,30,9.6
"18",175.88,30,9.2
"19",194.9,30,10.2
"20",0.27,32,14.8
"21",0.4,32,13.6
"22",0.69,32,11.8
"23",0.79,32,12.3
"24",2.75,32,12.2
"25",3.91,32,13.3
"26",9.88,32,13
"27",13.95,32,11.1
"28",15.93,32,13.4
"29",27.8,32,13.1
"30",53.24,32,11.8
"31",82.85,32,10
"32",89.29,32,13.6
"33",100.59,32,11.2
"34",215.1,32,13.2
"35",0.19,34,14.3
"36",0.78,34,13.5
"37",0.96,34,15.4
"38",1.31,34,13.3
"39",2.78,34,15.8
"40",3.16,34,13.5
"41",4.15,34,13.2
"42",4.67,34,12.9
"43",4.85,34,15.3
"44",6.5,34,12.4
"45",7.35,34,14.8
"46",8.01,34,14.8
"47",8.27,34,14.2
"48",12.06,34,14.9
"49",31.75,34,13.1
"50",32.52,34,15.5
"51",33.91,34,13.9
"52",36.71,34,15.7
"53",72.89,34,16
"54",0.35,36,16.9
"55",0.59,36,18.6
"56",0.96,36,16
"57",0.99,36,16.1
"58",1.69,36,17.3
"59",1.97,36,15.8
"60",2.07,36,15.5
"61",2.58,36,17.7
"62",2.71,36,15.6
"63",2.9,36,16.8
"64",3.67,36,16.8
"65",3.99,36,16.6
"66",5.35,36,15.5
"67",13.77,36,16.4
"68",25.5,36,16.5
"69",0.09,38,19.3
"70",0.39,38,18.1
"71",0.47,38,17.8
"72",0.73,38,19.8
"73",0.74,38,18.4
"74",1.13,38,18.1
"75",1.4,38,20.5
"76",2.38,38,16.1
